"ID","Flights","Org_airport_lat","Org_airport_long","Dest_airport_lat","Dest_airport_long","Fly_date","Dest/Orig","City"
1,454,29.5337009429932,-98.4698028564453,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","San Antonio, TX"
2,194,29.5337009429932,-98.4698028564453,32.8470993041992,-96.8517990112305,"2009-12-01","Origin_city","San Antonio, TX"
3,59,29.5337009429932,-98.4698028564453,32.8470993041992,-96.8517990112305,"2009-12-01","Origin_city","San Antonio, TX"
4,131,29.5337009429932,-98.4698028564453,32.8470993041992,-96.8517990112305,"2009-12-01","Origin_city","San Antonio, TX"
5,61,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
6,121,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
7,4,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
8,63,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
9,3,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
10,199,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
11,90,33.94250107,-118.4079971,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Los Angeles, CA"
12,298,33.4342994689941,-112.012001037598,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Phoenix, AZ"
13,30,47.4490013122559,-122.30899810791,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Seattle, WA"
14,181,47.4490013122559,-122.30899810791,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Seattle, WA"
15,3,33.4342994689941,-112.012001037598,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Phoenix, AZ"
16,24,47.4490013122559,-122.30899810791,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Seattle, WA"
17,34,47.4490013122559,-122.30899810791,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Seattle, WA"
18,86,33.4342994689941,-112.012001037598,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Phoenix, AZ"
19,60,33.4342994689941,-112.012001037598,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Phoenix, AZ"
20,3,47.4490013122559,-122.30899810791,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Seattle, WA"
21,59,29.9843997955322,-95.3414001464844,32.896800994873,-97.0380020141602,"2009-12-01","Origin_city","Houston, TX"
