"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"63","Bangladesh",NA,NA,13.0743171021391,63.8181519848784,NA,40.1500015258789,20.4720001220703,39.3779983520508,274024958965.892,1698.26280233547,23.4439348097981,61.0919990539551,71.18194,76.66926,73.9122,1.36491749632018,23.3,73697,161356039,NA,30.05459,35.09524,52.9649395131073,9,19.5,4.30800008773804,36.632,63
"64","Barbados",98.38821,3.83275,NA,NA,328,2.79500007629395,19.2280006408691,77.9769973754883,NA,NA,NA,77.5899963378906,NA,NA,NA,NA,10.2,34,286641,88.74687,13.9917,17.93859,NA,7,16,9.56799983978271,31.147,64
"65","Belarus",95.20914,1.05734,6.40224466411063,1.9004,5544,10.58899974823,30.7560005187988,58.6549987792969,59662495092.2654,6289.93855308212,69.1440943074798,77.4280014038086,99.72518,99.79398,99.75656,1.26544717212154,2.3,288,9485386,104.6179,19.23259,8.56276,47.7229672537989,4,9,5.70800018310547,78.595,65
"66","Belgium",NA,NA,0.686539593172739,1285.344187,NA,1.15199995040894,20.613000869751,78.2360000610352,531766935070.733,46556.0995671478,87.7158712975219,68.1159973144531,NA,NA,NA,0.925790634519833,2.6,365,11422068,NA,NA,NA,68.8300281217308,5,4.5,6.32299995422363,98.001,66
"67","Belize",99.01278,10.11157,NA,3.78245191142741,302,17.5849990844727,14.6499996185303,67.765998840332,1.925e+09,5025.17810014332,NA,69.5100021362305,NA,NA,NA,1.26245619249627,10.1,89,383071,104.4745,19.78332,16.72317,NA,9,48,9.36800003051758,45.724,67
"68","Benin",97.21103,NA,22.6444101837928,NA,50858,41.4010009765625,19.4039993286133,39.1959991455078,10358985583.235,901.954052193336,44.1906620897664,72.0879974365234,31.07165,53.97703,42.3624,0.863004044861682,54.7,24767,11485048,NA,39.19712,NA,46.1982544673123,6,8.5,2.125,47.312,68
"69","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63968,NA,NA,NA,NA,NA,NA,NA,100,69
"70","Bhutan",90.06547,12.01717,NA,0.690916,7456,56.7550010681152,9.77999973297119,33.4650001525879,2534965162.78084,3360.26686689029,NA,69.3499984741211,NA,NA,NA,NA,22.4,321,754394,NA,34.66868,10.81456,NA,8,12,2.19700002670288,40.895,70
"71","Bolivia",NA,NA,11.4819240218727,13.7284774028928,NA,28.0729999542236,21.6840000152588,50.242000579834,40287647756.8741,3548.59013979338,31.1211697950131,69.5350036621094,NA,NA,NA,1.49655017525489,19.5,5376,11353142,NA,NA,NA,49.0940955763533,12,39.5,3.25799989700317,69.425,71
"72","Bosnia and Herzegovina",NA,NA,5.99520666092244,NA,NA,16.5030002593994,29.7970008850098,53.7000007629395,19781776101.3881,5951.32329883943,56.8526752203272,57.2970008850098,NA,NA,NA,1.11191310643257,4.5,138,3323929,NA,16.92651,9.1229,55.6465456843642,13,80,20.8390007019043,48.245,72
"73","Botswana",NA,NA,1.9983830914554,0.113606,NA,22.9519996643066,18.0639991760254,58.984001159668,18616018903.4434,8258.64166574691,37.2919151939369,74.5859985351563,NA,NA,NA,2.78232195396813,26.9,1676,2254126,NA,NA,NA,59.5228803092667,9,48,17.9409999847412,69.446,73
"74","Brazil",NA,NA,4.36127937311958,1845.647756087,NA,9.39200019836426,20.4290008544922,70.1790008544922,1868626087908.48,8920.76210462979,14.2767138487893,70.2689971923828,93.42507,93.00904,93.2275,1.47490154739588,11.2,37421,209469333,NA,NA,NA,62.6304268785483,11,20.1,12.543999671936,86.569,74
"75","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29802,NA,NA,NA,NA,NA,NA,NA,47.723,75
"76","Brunei Darussalam",96.07682,0.3205,1.01764171259276,129.352,295,1.33800005912781,16.0540008544922,82.6070022583008,13567099497.8279,31627.7420793167,41.9648218892735,69.0380020141602,96.30126,98.05362,97.21411,2.37009896668375,9,63,428962,107.9787,9.89521,8.26843,37.337569623428,3,5.5,9.22399997711182,77.629,76
"77","Bulgaria",NA,NA,3.6476155266652,1.37521,NA,6.94399976730347,29.7870006561279,63.2700004577637,65132951116.4756,9272.62930360848,63.6470781179205,71.6470031738281,NA,NA,NA,1.68843232372019,5.3,374,7024216,NA,NA,NA,59.2423648579156,7,23,5.26100015640259,75.008,77
"78","Burkina Faso",79.34168,43.84543,28.6017730066199,0.104614,689266,28.6889991760254,32.9669990539551,38.3440017700195,14441763758.6919,731.171716967411,34.8759763018378,67.9619979858398,32.68762,50.07459,41.22445,2.05918567597085,44.6,36195,19751535,65.47893,39.72173,23.11995,43.1849013107097,3,13,6.05900001525879,29.358,78
"79","Burundi",93.4166,32.79,NA,NA,114262,91.9570007324219,2.08599996566772,5.95699977874756,3078029929.10347,275.429603285318,NA,79.8880004882813,NA,NA,NA,1.88216147085139,36.5,17644,11175378,63.02139,42.52383,26.59842,NA,4,5,1.52799999713898,13.032,79
"80","Cabo Verde",93.52897,13.46474,4.72527236551197,NA,3973,13.4449996948242,21.9389991760254,64.6149978637695,1986928611.73543,3654.00734457117,67.7298063778811,73.0540008544922,NA,NA,NA,0.553854417749715,15,177,543767,87.29021,21.07361,15.42052,61.0972691770623,9,18,12.2760000228882,65.732,80
"81","Cambodia",90.69029,NA,22.0129559006773,0.67645,186109,30.4349994659424,26.8810005187988,42.685001373291,24571753583.4922,1512.12670972847,63.3028853207448,82.8450012207031,NA,NA,NA,2.20647137386887,21,8754,16249798,87.99948,41.7035,NA,39.4920662589441,9,99,1.04799997806549,23.388,81
"82","Cameroon",NA,NA,14.2840671369042,0.066817,NA,46.306999206543,14.1280002593994,39.564998626709,38502059858.4389,1526.87571339209,22.7701077009648,77.1729965209961,71.58627,82.62804,77.07104,1.25032908627177,45.6,44517,25216237,64.47068,44.83412,NA,51.8435447657256,6,13.5,3.36100006103516,56.374,82
"83","Canada",NA,NA,NA,3434.073,NA,1.50199997425079,19.4549999237061,79.0429992675781,1712510030034.05,46210.5476227883,33.9336322886122,78.5309982299805,NA,NA,NA,1.25262923236361,4,1678,37058856,NA,NA,NA,NA,2,1.5,5.92000007629395,81.411,83
"84","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64174,NA,15.74725,10.9653,NA,NA,NA,NA,100,84
"85","Central African Republic",NA,NA,NA,NA,NA,72.7990036010742,9.1569995880127,18.0429992675781,2379716827.4977,509.970974805014,NA,72.8410034179688,25.75638,49.51459,37.39582,1.40860967195269,77.3,13800,4666377,NA,NA,NA,NA,10,22,6.48299980163574,41.364,85
"86","Chad",NA,NA,44.821474202061,NA,NA,81.6080017089844,3.05200004577637,15.3409996032715,11302544204.9904,730.244607565426,37.7824593263042,71.4260025024414,NA,NA,NA,2.1295595384847,64.7,45723,15477751,NA,NA,NA,37.5543896099761,8,58,2.22900009155273,23.059,86
"87","Channel Islands",NA,NA,NA,NA,NA,4.3270001411438,24.4969997406006,71.1760025024414,NA,NA,NA,71.7990036010742,NA,NA,NA,NA,NA,NA,170499,NA,NA,NA,NA,NA,NA,7.28800010681152,30.914,87
"88","Chile",NA,NA,3.64278384081156,1226.44198991,NA,9.15200042724609,22.746000289917,68.1029968261719,298231139609.448,15923.3590619893,28.7191327028569,68.7750015258789,NA,NA,NA,1.88738394618685,5.6,1431,18729160,NA,NA,NA,57.8851079010261,7,6,7.22300004959106,87.564,88
"89","China",NA,NA,7.19019403882776,25256.2071,NA,26.7700004577637,28.6200008392334,44.6110000610352,13608151864637.9,9770.84708783314,18.7313138032856,76.2210006713867,95.15933,98.46654,96.84089,1.86593660065812,6.9,124632,1392730000,NA,16.42675,13.25879,52.1570193361283,4,8.5,4.41699981689453,59.152,89
"90","Colombia",97.75807,5.91927,6.2748492826099,1349.446351,84250,16.367000579834,19.3799991607666,64.2529983520508,330227866233.324,6651.29129267621,20.894911412604,74.6399993896484,95.31892,94.85183,95.09251,3.17256021574562,10.8,9002,49648685,106.4633,NA,NA,57.7945206154011,8,11,9.0930004119873,80.778,90
"91","Comoros",NA,NA,NA,NA,NA,56.8839988708496,13.9809999465942,29.1340007781982,1203080507.99878,1445.45080869998,NA,44.7890014648438,52.95639,64.6442,58.81702,NA,46.4,1344,832322,NA,NA,NA,NA,9,16,3.71000003814697,28.965,91
"92","Congo, Dem. Rep.",NA,NA,19.1103383729504,0.893,NA,68.6490020751953,10.4729995727539,20.8780002593994,47227535290.9405,561.777182390647,37.3422312884117,64.109001159668,NA,NA,NA,0.668776974818973,62,231546,84068091,NA,NA,NA,32.689550462535,4,7,4.15500020980835,44.46,92
"93","Congo, Rep.",NA,NA,7.12133854688689,4.59716061898045,NA,35.8429985046387,22.2600002288818,41.8969993591309,11263682694.0393,2147.76946104594,56.0218574027979,70.4459991455078,74.61876,86.07651,80.29876,2.54695464012207,32.4,6180,5244363,NA,NA,NA,39.9582363599475,11,49.5,10.3819999694824,66.916,93
"94","Costa Rica",97.40817,3.75211,4.58090058825598,11.13032,509,12.4549999237061,18.4090003967285,69.1350021362305,60126014828.5951,12026.5475337333,33.0870972436044,66.5810012817383,97.92443,97.80235,97.86379,0,6.9,532,4999441,98.59437,12.2047,12.42779,68.3069741596966,10,23,8.12800025939941,79.34,94
"95","Cote d'Ivoire",93.69235,45.98387,19.769318397967,5.79997798442412,241575,47.9959983825684,6.24399995803833,45.7610015869141,43007045466.3406,1715.53123817013,29.2470562631073,58.2140007019043,40.49937,53.65694,47.16535,1.35765671954873,52.3,52312,25069229,NA,41.8223,27.28114,32.6083340873151,4,6,2.48000001907349,50.779,95
"96","Croatia",NA,NA,2.92907203645543,0.52979,NA,6.91400003433228,26.2689990997314,66.8170013427734,60805659436.216,14869.0906823045,49.8604065570929,66.8479995727539,NA,NA,NA,1.46505417870661,3.6,147,4089400,NA,NA,NA,58.0279240977141,8,22.5,8.85000038146973,56.947,96
"97","Cuba",97.84442,5.49462,NA,17.759927333,15680,18.2649993896484,16.8209991455078,64.9140014648438,NA,NA,NA,64.0820007324219,NA,NA,NA,NA,3.3,431,11338138,84.13141,9.16029,9.63133,NA,NA,NA,2.26399993896484,77.037,97
"98","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159849,NA,NA,NA,NA,NA,NA,NA,89.145,98
"99","Cyprus",NA,NA,1.71917697537728,0.021,NA,2.49699997901917,16.9990005493164,80.5039978027344,24469841831.9169,28159.3016999455,66.0040471085363,72.9580001831055,NA,NA,NA,1.57216193491902,1.7,23,1189265,NA,NA,NA,72.5851520801125,5,6,8.10900020599365,66.81,99
"100","Czech Republic",NA,NA,1.96611280194297,25.22637,NA,2.77699995040894,37.8600006103516,59.3639984130859,245225882903.37,23078.5734865691,72.0030708959607,76.3550033569336,NA,NA,NA,1.12360570947245,2.3,295,10625695,NA,NA,NA,55.8104939668642,9,24.5,2.3970000743866,73.792,100
"101","Denmark",NA,NA,1.02237606006189,NA,NA,2.18799996376038,18.6310005187988,79.1809997558594,352058410508.345,60726.4665351509,49.5373910883939,78.8440017700195,NA,NA,NA,1.18141520744533,3.3,220,5797446,NA,NA,NA,64.9849015681874,5,3.5,4.97499990463257,87.874,101
"102","Djibouti",62.10696,NA,2.28763328739787,NA,33948,49.8790016174316,8.09799957275391,42.0229988098145,1965982321.62953,2050.20473202095,82.2899174226038,66.3560028076172,NA,NA,NA,NA,45.1,1019,958920,66.38029,29.37453,25.41709,71.7126481515895,6,14,11.1219997406006,77.777,102
"103","Dominica",NA,NA,12.6701520497814,NA,NA,NA,NA,NA,503646211.111111,7031.70975373279,71.2023696645905,NA,NA,NA,NA,NA,30.4,31,71625,NA,NA,NA,55.1102336482127,5,12,NA,70.483,103
"104","Dominican Republic",NA,NA,5.49400694722529,NA,NA,9.47700023651123,19.3819999694824,71.140998840332,81298585403.3004,7650.07275254505,29.9516419614667,68.0770034790039,NA,NA,NA,0.743856125335593,21.7,4989,10627165,NA,NA,NA,58.8957866055527,7,16.5,5.8289999961853,81.074,104
"105","Ecuador",NA,NA,9.2438990004784,64.20469,NA,27.4769992828369,18.5429992675781,53.9809989929199,108398058000,6344.87197850057,23.0467920375474,72.2129974365234,NA,NA,NA,2.3767115146098,10.7,4106,17084357,NA,NA,NA,51.623515247847,11,48.5,3.91000008583069,63.821,105
"106","Egypt, Arab Rep.",98.45783,4.20091,11.225001126786,437.625328,77552,24.8680000305176,26.5790004730225,48.5540008544922,250895469644.498,2549.13945832295,29.3662955784919,51.1469993591309,NA,NA,NA,1.24706923983941,16.8,46849,98423595,100.6852,23.67945,15.16281,51.358477937531,6,11.5,11.4359998703003,42.704,106
"107","El Salvador",NA,NA,4.87681789311489,10.73322,NA,18.5310001373291,21.7269992828369,59.742000579834,26056950000,4058.24465202163,48.6180462410221,65.0339965820313,NA,NA,NA,1.03057541489324,10.5,1378,6420744,NA,NA,NA,60.3415595455339,9,16.5,4.3899998664856,72.023,107
"108","Equatorial Guinea",NA,NA,2.33699197510665,0.349226981434267,NA,41.3629989624023,16.4969997406006,42.1399993896484,13317453070.3876,10173.963020188,40.8053850941157,63.5349998474121,NA,NA,NA,NA,56.5,2668,1308974,NA,NA,NA,40.5021954240111,16,33,9.16199970245361,72.143,108
"109","Eritrea",NA,NA,NA,NA,NA,62.6980018615723,8.27000045776367,29.0319995880127,NA,NA,NA,82.3929977416992,68.94619,84.37324,76.57052,NA,26.7,3291,NA,NA,NA,NA,NA,13,84,6.54300022125244,NA,109
"110","Estonia",NA,NA,2.23011103655604,NA,NA,3.49000000953674,29.8010005950928,66.7089996337891,30284890757.0585,22927.7444174193,71.7202959306144,78.8550033569336,NA,NA,NA,2.05854468149193,1.9,28,1320884,NA,NA,NA,59.9129509825891,3,3.5,5.50799989700317,68.88,110
"111","Eswatini",NA,NA,8.635440874289,NA,NA,13.0430002212524,24.42799949646,62.5279998779297,4703787506.89153,4139.96194908385,NA,55.3860015869141,88.54269,88.28758,88.41938,1.50006194948238,38.3,1284,1136191,NA,NA,NA,52.7621383447453,12,30,22.4769992828369,23.799,111
"112","Ethiopia",NA,NA,31.0866693334871,2089.27754,NA,66.2030029296875,11.9989995956421,21.7970008850098,84355462494.0837,772.312227821251,22.798726646213,82.3550033569336,NA,NA,NA,0.641920292772261,33.6,136664,109224559,NA,NA,NA,36.5226710461852,11,32,1.80900001525879,20.763,112
"113","Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48497,NA,NA,NA,NA,NA,NA,NA,42.064,113
"114","Fiji",NA,NA,10.3832645525134,106.8282,NA,39.4490013122559,13.0830001831055,47.4679985046387,5479504926.19335,6202.16226706496,NA,60.3530006408691,NA,NA,NA,0.922839461596508,19.7,408,883483,NA,NA,NA,53.9648088883644,11,40,4.15199995040894,56.248,114
"115","Finland",NA,NA,2.45157176340825,957.63859,NA,3.72699999809265,21.9699993133545,74.3030014038086,273960969999.218,49648.1492554831,39.8145594926237,76.7379989624023,NA,NA,NA,1.39852042457382,1.2,71,5518050,NA,NA,NA,59.1759444367848,3,17,7.75500011444092,85.382,115
"116","France",NA,NA,1.62212240075815,4443.789,NA,2.6029999256134,20.3190002441406,77.0780029296875,2777535239277.98,41463.6440227034,32.1109689812119,71.6669998168945,NA,NA,NA,2.29394279932913,3,2477,66987244,NA,NA,NA,70.3386185823747,5,3.5,9.18000030517578,80.444,116
"117","French Polynesia",NA,NA,NA,NA,NA,8.29800033569336,16.5289993286133,75.1719970703125,NA,NA,NA,60.1469993591309,NA,NA,NA,NA,NA,NA,277679,NA,NA,NA,NA,NA,NA,12.0159997940063,61.834,117
"118","Gabon",NA,NA,NA,NA,NA,37.6059989929199,9.94600009918213,52.4469985961914,17017401831.9223,8029.82238356148,NA,54.3219985961914,83.42397,85.85235,84.66716,1.53120762976884,28.8,2161,2119275,NA,NA,NA,NA,7,31,19.488000869751,89.37,118
"119","Gambia, The",81.80852,NA,NA,NA,65020,29.7310009002686,15.8979997634888,54.3709983825684,1624464137.00149,712.452397744265,NA,60.6699981689453,NA,NA,NA,1.07343366703322,35,3383,2280102,NA,36.13813,NA,NA,7,25,8.90499973297119,61.27,119
"120","Georgia",99.21379,0.17788,6.66134336969567,0.7509,2434,42.8969993591309,13.2220001220703,43.8810005187988,16209818081.3701,4344.63095185476,66.6689631499636,73.0749969482422,NA,NA,NA,1.93504651785341,7.7,475,3731000,95.50823,8.98194,7.57537,58.4210744133621,1,2,14.1059999465942,58.632,120
"121","Germany",NA,NA,0.68198464264619,7969.86364,NA,1.26600003242493,27.132999420166,71.6019973754883,3996759291057.81,48195.5799044116,40.1948611931483,78.3600006103516,NA,NA,NA,1.23376875688812,2.8,2385,82927922,NA,NA,NA,61.538747784997,9,8,3.42499995231628,77.312,121
"122","Ghana",85.00771,15.53301,NA,NA,153986,33.8619995117188,18.6180000305176,47.5200004577637,65556464056.4301,2202.31216470307,NA,69.0019989013672,74.47439,83.52458,79.03964,0.413916816864508,31.1,30285,29767108,93.80911,27.24556,16.01642,NA,8,14,6.71000003814697,56.06,122
"123","Gibraltar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33718,NA,NA,NA,NA,NA,NA,NA,100,123
"124","Greece",NA,NA,3.71923520098957,21.909,NA,11.9689998626709,15.3400001525879,72.6910018920898,218031844583.994,20324.2535641478,36.3904688555073,68.4029998779297,NA,NA,NA,2.3852815561237,3.3,299,10727668,NA,NA,NA,68.0590084865172,4,12.5,19.2070007324219,79.058,124
"125","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56025,NA,NA,NA,NA,NA,NA,NA,86.816,125
"126","Grenada",NA,NA,4.91524978181067,NA,NA,NA,NA,NA,1207454555.55556,10833.6583303924,NA,NA,NA,NA,NA,NA,12.5,25,111454,NA,NA,NA,66.6843070821191,6,15,NA,36.272,126
"127","Guam",NA,NA,NA,NA,NA,0.284000009298325,14.7530002593994,84.9629974365234,NA,NA,NA,71.1920013427734,NA,NA,NA,NA,NA,NA,165768,NA,NA,NA,NA,NA,NA,5.61199998855591,94.78,127
"128","Guatemala",89.21348,32.75571,9.97701877314352,0.107366,246375,29.2549991607666,20.761999130249,49.9830017089844,78460447919.9915,4549.01008110721,27.6848354752307,64.4069976806641,NA,NA,NA,0.352941134242593,19.6,9295,17247807,79.69038,20.26228,10.49312,62.8653172639898,6,15,2.72699999809265,51.054,128
"129","Guinea",NA,NA,17.8058952428077,NA,NA,66.5380020141602,6.88600015640259,26.5769996643066,10989790256.3533,885.251228166811,94.9035131123206,66.2539978027344,NA,NA,NA,2.46740138641465,59.5,28853,12414318,NA,NA,NA,41.7140433610357,6,15,3.60700011253357,36.14,129
"130","Guinea-Bissau",NA,NA,47.4606077236468,NA,NA,68.0260009765625,8.75,23.2240009307861,1458156026.13413,777.969921786711,32.4552944903751,73.7519989013672,NA,NA,NA,NA,48.3,3510,1874309,NA,NA,NA,34.8244695805806,9,8.5,4.05700016021729,43.36,130
"131","Guyana",NA,NA,NA,0.100011077552455,NA,18.4659996032715,25.6630001068115,55.8709983825684,3610435298.87019,4634.68133523087,NA,61.1440010070801,NA,NA,NA,1.69325864572266,21.7,390,779004,NA,NA,NA,NA,7,18,12.1510000228882,26.606,131
"132","Haiti",NA,NA,NA,NA,NA,49.7560005187988,10.3070001602173,39.9379997253418,9658084644.22796,868.284799613704,58.4729399568554,68.7239990234375,NA,NA,NA,0.000840337405567425,44.3,13316,11123176,NA,NA,NA,NA,12,97,13.5260000228882,55.278,132
"133","Honduras",NA,NA,11.786853574627,0.449870108136938,NA,31.9109992980957,20.5020008087158,47.5870018005371,23803230472.6372,2482.73020626573,60.3559049549425,67.3870010375977,87.26556,87.13764,87.20524,1.71258931304159,13.3,3118,9587522,NA,NA,NA,57.1137793132361,11,42,4.07600021362305,57.096,133
"134","Hong Kong SAR, China",96.26568,0.07477,NA,12676.721747,8187,0.206000000238419,11.7550001144409,88.0390014648438,362992536837.405,48717.2912142538,187.954593460061,72.1309967041016,NA,NA,NA,NA,NA,NA,7451000,104.4942,13.34788,11.22247,NA,2,1.5,2.77800011634827,100,134
"135","Hungary",NA,NA,3.59928862329203,NA,NA,4.98799991607666,31.3379993438721,63.673999786377,155703069815.638,15938.8367965554,81.7486629005267,71.5230026245117,NA,NA,NA,1.08207729001535,3.3,327,9768785,NA,NA,NA,54.3982088564328,6,7,3.66300010681152,71.351,135
"136","Iceland",NA,NA,NA,163.646108143,NA,3.72099995613098,17.3099994659424,78.9690017700195,25882218777.4084,73201.7025499851,44.1248431578176,88.3160018920898,NA,NA,NA,NA,1.4,6,353574,NA,NA,NA,NA,5,11.5,2.91799998283386,93.813,136
"137","India",NA,NA,14.464135168588,2703.96417383,NA,43.8600006103516,24.6860008239746,31.4540004730225,2726322616821.31,2015.59048548675,23.4301576733991,54.2470016479492,65.79081,82.36671,74.37299,2.41903434166523,29.9,720530,1352617328,NA,NA,NA,49.0141587366926,10,16.5,2.55100011825562,34.03,137
"138","Indonesia",94.37668,16.33552,12.8078635296076,1131.913455454,1555014,30.5259990692139,21.9990005493164,47.4749984741211,1042173300625.55,3893.59607757239,22.0559700304029,69.2300033569336,93.99218,97.33134,95.65856,0.716442832780161,18.6,102086,267663435,102.3348,17.03493,15.2071,43.4119309991688,11,21,4.30000019073486,55.325,138
"139","Iran, Islamic Rep.",NA,NA,NA,290.737968069473,NA,17.3910007476807,31.9750003814697,50.6339988708496,NA,NA,NA,46.6119995117188,NA,NA,NA,2.66751206072691,11.7,18989,81800269,NA,NA,NA,NA,10,72.5,11.9949998855591,74.898,139
"140","Iraq",NA,NA,3,16.199317,NA,18.8579998016357,23.4939994812012,57.6479988098145,225914183047.981,5878.03856646219,37.603728116457,44.4949989318848,44.014,56.24399,50.14052,2.72652780753896,20.1,24865,38433600,NA,NA,NA,41.2,8,26.5,7.92799997329712,70.473,140
"141","Ireland",NA,NA,0.917601505013472,168.7117,NA,5.02099990844727,18.4729995727539,76.5059967041016,382487490532.479,78806.431996268,89.1849891528727,72.7470016479492,NA,NA,NA,0.330585082043917,2.8,197,4853506,NA,NA,NA,55.8168483789987,3,11,5.69099998474121,63.17,141
"142","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84077,NA,NA,NA,NA,NA,NA,NA,52.588,142
"143","Israel",NA,NA,NA,994.542,NA,0.985000014305115,17.3339996337891,81.6809997558594,369690436162.433,41613.9980821757,NA,72.5550003051758,NA,NA,NA,4.34810126356225,2.8,502,8883800,NA,NA,NA,NA,4,11,3.95000004768372,92.418,143
"144","Italy",NA,NA,1.8821996702868,1418.004731,NA,3.75,25.8080005645752,70.4420013427734,2073901988878.23,34318.3511241724,29.2542237923393,65.2969970703125,98.97192,99.35345,99.15576,1.3327023072539,2.4,1200,60431283,NA,NA,NA,66.1453805859652,7,11,10.2049999237061,70.438,144
"145","Jamaica",81.38229,17.86606,6.65882036982915,4.58628,42794,16.5550003051758,15.6789999008179,67.7669982910156,15717858486.9424,5355.58263932713,NA,72.4359970092773,NA,NA,NA,1.35195613500228,10.9,587,2934855,85.61918,24.79434,16.69828,59.1832775140404,2,3,9.44499969482422,55.674,145
"146","Japan",NA,NA,NA,9420.659,NA,3.40899991989136,24.5009994506836,72.088996887207,4970915556638.88,39286.7376488008,NA,77.9039993286133,NA,NA,NA,0.923839535738282,1.7,1734,126529100,NA,NA,NA,NA,8,11.1,2.4449999332428,91.616,146
"147","Jordan",80.95397,30.79831,5.62929809699775,175.8386,264821,3.46700000762939,24.7649993896484,71.7669982910156,42290832157.969,4247.76872564413,53.898386483548,41.6199989318848,97.83208,98.61421,98.22711,4.68252872600818,12.6,3001,9956011,72.70051,18.53699,12.26127,61.8395688395889,7,12.5,15.0249996185303,90.979,147
"148","Kazakhstan",98.93539,NA,4.17768356082057,50.217906,13169,15.0080003738403,21.3229999542236,63.6689987182617,170538870248.194,9331.04694986684,NA,78.1620025634766,NA,NA,NA,0.953875222320034,7.6,3399,18276499,110.3839,19.63913,6.95898,54.4750945602236,5,5,4.88500022888184,57.428,148
"149","Kenya",NA,NA,34.1946791303039,294.965258350297,NA,57.4539985656738,7.58799982070923,34.9580001831055,87908262520.2133,1710.51009699983,23.0051779768064,66.8509979248047,78.18893,84.98883,81.53497,1.22042498645365,27.4,44952,51393010,NA,NA,NA,42.667459896887,7,23,9.3129997253418,27.03,149
"150","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,188284518.828452,1625.28610001512,NA,NA,NA,NA,NA,NA,37,133,115847,NA,NA,NA,NA,7,31,NA,54.057,150
"151","Korea, Dem. People’s Rep.",NA,NA,NA,0.251493238,NA,59.9109992980957,17.0289993286133,23.0599994659424,NA,NA,NA,85.9359970092773,NA,NA,NA,NA,12.1,4842,25549819,101.5065,20.30024,NA,NA,NA,NA,3.30299997329712,61.899,151
"152","Korea, Rep.",NA,NA,1.98331463899752,11929.556028,NA,4.73299980163574,24.9549999237061,70.3119964599609,1619423701169.63,31362.75147294,38.9937736107049,69.1859970092773,NA,NA,NA,2.61734363736466,2.5,1044,51635256,NA,NA,NA,53.5638365232093,3,8,3.79500007629395,81.459,152
"153","Kosovo",NA,NA,8.32212759599582,NA,NA,NA,NA,NA,7900268735.55547,4281.29232946159,55.1919916330495,NA,NA,NA,NA,0.795344788911837,NA,NA,1845300,NA,NA,NA,53.3691916928134,3,5.5,NA,NA,153
"154","Kuwait",88.23607,NA,0.482392893118656,392.363053,NA,2.26200008392334,25.3939990997314,72.3440017700195,141677814569.536,34243.9529098591,NA,74.8379974365234,94.90516,96.66646,96.05647,5.05553177566242,6.1,388,4137309,91.81941,8.88073,NA,NA,7,35.4,2.07599997520447,100,154
"155","Kyrgyz Republic",98.66818,3.00715,11.6488154204899,NA,1414,26.5160007476807,22.1580009460449,51.326000213623,8092836608.78875,1281.36366078545,68.3891768514591,65.318000793457,99.49972,99.67701,99.586,1.57377016641031,14.9,2643,6315800,104.5163,24.98946,10.64648,49.7947544960783,4,10,7.17000007629395,36.351,155
"156","Lao PDR",91.46712,25.01831,15.7028046580285,1.53255252911646,65377,68.0289993286133,9.08600044250488,22.8850002288818,18130724396.3364,2567.54321653103,NA,81.4229965209961,NA,NA,NA,NA,33.2,6227,7061507,97.89004,22.33717,18.15412,41.6178448417252,10,174,0.609000027179718,35.004,156
"157","Latvia",NA,NA,3.29800528823252,4.01487,NA,6.79500007629395,23.1550006866455,70.0500030517578,34849078085.6672,18088.9272518674,59.4939537314881,77.2460021972656,NA,NA,NA,1.97955144365229,3.1,68,1926542,NA,NA,NA,63.5452564424253,4,5.5,7.85699987411499,68.142,157
