"","Country","Adjusted net enrollment rate, primary (% of primary school age children)","Adolescents out of school (% of lower secondary school age)","Agriculture, forestry, and fishing, value added (% of GDP)","Air transport, freight (million ton-km)","Children out of school, primary","Employment in agriculture (% of total employment) (modeled ILO estimate)","Employment in industry (% of total employment) (modeled ILO estimate)","Employment in services (% of total employment) (modeled ILO estimate)","GDP (current US$)","GDP per capita (current US$)","Imports of goods and services (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Military expenditure (% of GDP)","Mortality rate, infant, female (per 1,000 live births)","Number of infant deaths","Population, total","Primary completion rate, total (% of relevant age group)","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Services, value added (% of GDP)","Start-up procedures to register a business (number)","Time required to start a business (days)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Urban population (% of total population)","id"
"16","IBRD only",96.18396,10.02884,6.99509981779037,56716.7546627353,13400000,28.0674831495721,25.5861184359222,46.3467753976104,30466767138226.6,6383.67595205185,26.3285304687326,65.8590883946682,85.79008,92.28275,89.05044,1.91333306721373,17.98790034602,1445018,4772284113,95.75261,21.996,17.23354,54.1929504562337,7.77272727272727,24.85,5.09467124429549,55.0124279996674,16
"17","IDA & IBRD total",89.76472,17.13199,7.84414460213787,59818.4087852345,5.8e+07,33.2796366682516,23.1439899286939,43.5766293526178,32672447529304.4,5094.78061180173,26.4931717799322,65.7146642162138,80.05061,88.32628,84.19382,1.89758227299339,28.7305904973287,3944191,6412522234,88.64266,25.328,18.02335,53.7866935826719,7.38297872340426,23.8475177304965,4.92161633235406,50.4222017748257,17
"18","IDA blend",71.55632,25.54291,22.0386593761487,772.898323499685,17900000,42.317940805661,17.345861953554,40.3358231594573,991212192923.733,1783.29905551662,NA,59.0438680922876,58.28596,75.69121,67.0462,1.94408308121596,53.6419939350524,1026627,555830605,77.25067,34.26502,18.86477,50.1767244942825,7.05882352941176,19.0823529411765,4.99818675026988,42.3804250236419,18
"19","IDA only",81.83126,34.14684,20.1586696103094,2328.75579899952,26700000,55.2507434469679,13.538209623371,31.2109777679254,1222271018650.91,1127.13255913186,NA,68.4019413842534,59.68649,72.53029,65.99904,1.41167373461111,40.2343130770963,1472546,1084407516,73.55166,35.97722,23.53348,44.4715709122457,7.03448275862069,24.1034482758621,4.01605519366775,34.3159699173835,19
"20","IDA total",78.47108,31.43406,21.1314575513378,3101.65412249921,NA,51.2957405214602,14.7026344215266,34.0014626472854,2214471555511.12,1350.09150632411,NA,65.2183274537095,59.21781,73.61888,66.35453,1.67020606473807,44.8417701843852,2499173,1640238121,74.7889,35.45098,21.68306,47.4253202157361,7.04,22.9653333333333,4.31855147951261,37.0518650600215,20
"21","Late-demographic dividend",96.5026,5.86308,5.6994049757601,72443.525962278,4219114,24.003454337617,26.9055296686135,49.0916491685814,22170288242255.8,9686.99172385768,27.0514181587836,74.5180045505655,94.84279,97.45938,96.1515,2.01178151554387,8.10964572134428,264037,2288665963,96.85427,17.16688,13.50771,54.5505679444098,5.75,12.3208333333333,5.17197095690825,62.4450990246255,21
"22","Latin America & Caribbean",94.936,7.23044,4.55932806017137,6389.27833543366,2266933,14.0150672438398,20.9941601566077,64.9908138147398,5787292630122.98,9023.50482339477,23.8561387196186,69.2461935015694,93.44784,94.30852,93.86706,1.25503292524738,12.5,146715,641357515,98.59721,21.30215,16.4962,60.2814439571106,8.09090909090909,28.7575757575758,8.05464509503351,80.5832909863671,22
"23","Latin America & Caribbean (excluding high income)",95.1471,7.19625,4.69446096722752,5073.61558901022,2060138,14.2885795717108,20.9656135290237,64.7458213547866,5193396903833.44,8527.55021502256,23.3374537045502,69.3012781911311,92.8302,93.81777,93.31166,1.22562420871461,12.664038409147,143549,609013934,98.83801,21.57,16.60104,60.5344839772872,8.625,34.8541666666667,8.10562742524123,80.4016255969999,23
"24","Latin America & the Caribbean (IDA & IBRD countries)",94.98276,7.18329,4.61591163511171,6371.35755579719,2187793,13.9986378907813,21.0863363732213,64.9150685963558,5555732855564.57,8881.07710477437,23.5342847332252,69.4268352026237,93.32517,94.20759,93.75496,1.25503292524738,12.5730314462126,146205,625569713,98.87007,21.69085,16.65098,60.438011880635,8.23333333333333,30.2,8.13604172842177,80.6014123164288,24
"25","Least developed countries: UN classification",81.11042,34.23471,20.7850408407443,2390.32345859472,26600000,56.9609701393675,13.0307715950935,30.0081938888054,1053134397080.74,1043.05578915963,NA,69.5811089070146,58.09787,71.79852,64.81693,1.52316617242552,41.3026319512603,1432120,1009662578,71.65654,37.15033,24.74825,44.4284214752612,7.41304347826087,27,3.94344779668272,33.568060082099,25
